"","feature_set","resample","problem","C"
"130","TSFEL",15,"AconityMINIPrinterLarge",0.359381366380463
"131","Kats",15,"AconityMINIPrinterLarge",10000
"132","tsfresh",15,"AconityMINIPrinterLarge",0.00599484250318941
"133","FFT (Mag^2 + Angle) + quantiles",15,"AconityMINIPrinterLarge",0.00599484250318941
"134","Quantiles",15,"AconityMINIPrinterLarge",0.0464158883361278
"135","FFT coef. (Mag^2 + Angle)",15,"AconityMINIPrinterLarge",0.00599484250318941
"136","catch22",16,"AconityMINIPrinterLarge",2.78255940220713
"137","feasts",16,"AconityMINIPrinterLarge",2.78255940220713
"138","tsfeatures",16,"AconityMINIPrinterLarge",0.0464158883361278
"139","TSFEL",16,"AconityMINIPrinterLarge",0.359381366380463
"140","Kats",16,"AconityMINIPrinterLarge",1291.54966501488
"141","tsfresh",16,"AconityMINIPrinterLarge",0.00599484250318941
"142","FFT (Mag^2 + Angle) + quantiles",16,"AconityMINIPrinterLarge",0.00599484250318941
"143","Quantiles",16,"AconityMINIPrinterLarge",0.0464158883361278
"144","FFT coef. (Mag^2 + Angle)",16,"AconityMINIPrinterLarge",0.00599484250318941
"145","catch22",17,"AconityMINIPrinterLarge",2.78255940220713
"146","feasts",17,"AconityMINIPrinterLarge",2.78255940220713
"147","tsfeatures",17,"AconityMINIPrinterLarge",0.0464158883361278
"148","TSFEL",17,"AconityMINIPrinterLarge",0.359381366380463
"149","Kats",17,"AconityMINIPrinterLarge",166.810053720006
"150","tsfresh",17,"AconityMINIPrinterLarge",0.00599484250318941
"151","FFT (Mag^2 + Angle) + quantiles",17,"AconityMINIPrinterLarge",0.00599484250318941
"152","Quantiles",17,"AconityMINIPrinterLarge",0.00599484250318941
"153","FFT coef. (Mag^2 + Angle)",17,"AconityMINIPrinterLarge",0.00599484250318941
"154","catch22",18,"AconityMINIPrinterLarge",166.810053720006
"155","feasts",18,"AconityMINIPrinterLarge",1291.54966501488
"156","tsfeatures",18,"AconityMINIPrinterLarge",2.78255940220713
"157","TSFEL",18,"AconityMINIPrinterLarge",0.359381366380463
"158","Kats",18,"AconityMINIPrinterLarge",21.5443469003188
"159","tsfresh",18,"AconityMINIPrinterLarge",0.00599484250318941
"160","FFT (Mag^2 + Angle) + quantiles",18,"AconityMINIPrinterLarge",0.00599484250318941
"161","Quantiles",18,"AconityMINIPrinterLarge",0.0464158883361278
"162","FFT coef. (Mag^2 + Angle)",18,"AconityMINIPrinterLarge",0.00599484250318941
"163","catch22",19,"AconityMINIPrinterLarge",1291.54966501488
"164","feasts",19,"AconityMINIPrinterLarge",21.5443469003188
"165","tsfeatures",19,"AconityMINIPrinterLarge",0.359381366380463
"166","TSFEL",19,"AconityMINIPrinterLarge",0.0464158883361278
"167","Kats",19,"AconityMINIPrinterLarge",166.810053720006
"168","tsfresh",19,"AconityMINIPrinterLarge",0.00599484250318941
"169","FFT (Mag^2 + Angle) + quantiles",19,"AconityMINIPrinterLarge",0.00599484250318941
"170","Quantiles",19,"AconityMINIPrinterLarge",0.00599484250318941
"171","FFT coef. (Mag^2 + Angle)",19,"AconityMINIPrinterLarge",0.00599484250318941
"172","catch22",20,"AconityMINIPrinterLarge",2.78255940220713
"173","feasts",20,"AconityMINIPrinterLarge",2.78255940220713
"174","tsfeatures",20,"AconityMINIPrinterLarge",0.0464158883361278
"175","TSFEL",20,"AconityMINIPrinterLarge",0.359381366380463
"176","Kats",20,"AconityMINIPrinterLarge",166.810053720006
"177","tsfresh",20,"AconityMINIPrinterLarge",0.00599484250318941
"178","FFT (Mag^2 + Angle) + quantiles",20,"AconityMINIPrinterLarge",0.00599484250318941
"179","Quantiles",20,"AconityMINIPrinterLarge",0.0464158883361278
"180","FFT coef. (Mag^2 + Angle)",20,"AconityMINIPrinterLarge",0.00599484250318941
"181","catch22",21,"AconityMINIPrinterLarge",2.78255940220713
"182","feasts",21,"AconityMINIPrinterLarge",0.359381366380463
"183","tsfeatures",21,"AconityMINIPrinterLarge",0.359381366380463
"184","TSFEL",21,"AconityMINIPrinterLarge",10000
"185","Kats",21,"AconityMINIPrinterLarge",21.5443469003188
"186","tsfresh",21,"AconityMINIPrinterLarge",0.00599484250318941
"187","FFT (Mag^2 + Angle) + quantiles",21,"AconityMINIPrinterLarge",0.00599484250318941
"188","Quantiles",21,"AconityMINIPrinterLarge",0.0464158883361278
"189","FFT coef. (Mag^2 + Angle)",21,"AconityMINIPrinterLarge",0.00599484250318941
"190","catch22",22,"AconityMINIPrinterLarge",2.78255940220713
"191","feasts",22,"AconityMINIPrinterLarge",21.5443469003188
"192","tsfeatures",22,"AconityMINIPrinterLarge",0.0464158883361278
"193","TSFEL",22,"AconityMINIPrinterLarge",0.359381366380463
"194","Kats",22,"AconityMINIPrinterLarge",21.5443469003188
"195","tsfresh",22,"AconityMINIPrinterLarge",0.00599484250318941
"196","FFT (Mag^2 + Angle) + quantiles",22,"AconityMINIPrinterLarge",0.00599484250318941
"197","Quantiles",22,"AconityMINIPrinterLarge",0.0464158883361278
"198","FFT coef. (Mag^2 + Angle)",22,"AconityMINIPrinterLarge",0.00599484250318941
"199","catch22",23,"AconityMINIPrinterLarge",2.78255940220713
"200","feasts",23,"AconityMINIPrinterLarge",2.78255940220713
"201","tsfeatures",23,"AconityMINIPrinterLarge",2.78255940220713
"202","TSFEL",23,"AconityMINIPrinterLarge",0.359381366380463
"203","Kats",23,"AconityMINIPrinterLarge",21.5443469003188
"204","tsfresh",23,"AconityMINIPrinterLarge",0.00599484250318941
"205","FFT (Mag^2 + Angle) + quantiles",23,"AconityMINIPrinterLarge",0.00599484250318941
"206","Quantiles",23,"AconityMINIPrinterLarge",0.0464158883361278
"207","FFT coef. (Mag^2 + Angle)",23,"AconityMINIPrinterLarge",0.00599484250318941
"208","catch22",24,"AconityMINIPrinterLarge",2.78255940220713
"209","feasts",24,"AconityMINIPrinterLarge",0.359381366380463
"210","tsfeatures",24,"AconityMINIPrinterLarge",2.78255940220713
"211","TSFEL",24,"AconityMINIPrinterLarge",1291.54966501488
"212","Kats",24,"AconityMINIPrinterLarge",2.78255940220713
"213","tsfresh",24,"AconityMINIPrinterLarge",0.00599484250318941
"214","FFT (Mag^2 + Angle) + quantiles",24,"AconityMINIPrinterLarge",0.00599484250318941
"215","Quantiles",24,"AconityMINIPrinterLarge",0.0464158883361278
"216","FFT coef. (Mag^2 + Angle)",24,"AconityMINIPrinterLarge",0.00599484250318941
"217","catch22",25,"AconityMINIPrinterLarge",2.78255940220713
"218","feasts",25,"AconityMINIPrinterLarge",1291.54966501488
"219","tsfeatures",25,"AconityMINIPrinterLarge",0.359381366380463
"220","TSFEL",25,"AconityMINIPrinterLarge",0.359381366380463
"221","Kats",25,"AconityMINIPrinterLarge",21.5443469003188
"222","tsfresh",25,"AconityMINIPrinterLarge",0.00599484250318941
"223","FFT (Mag^2 + Angle) + quantiles",25,"AconityMINIPrinterLarge",0.00599484250318941
"224","Quantiles",25,"AconityMINIPrinterLarge",0.0464158883361278
"225","FFT coef. (Mag^2 + Angle)",25,"AconityMINIPrinterLarge",0.00599484250318941
"226","catch22",26,"AconityMINIPrinterLarge",2.78255940220713
"227","feasts",26,"AconityMINIPrinterLarge",166.810053720006
"228","tsfeatures",26,"AconityMINIPrinterLarge",1291.54966501488
"229","TSFEL",26,"AconityMINIPrinterLarge",2.78255940220713
"230","Kats",26,"AconityMINIPrinterLarge",0.359381366380463
"231","tsfresh",26,"AconityMINIPrinterLarge",0.00599484250318941
"232","FFT (Mag^2 + Angle) + quantiles",26,"AconityMINIPrinterLarge",0.00599484250318941
"233","Quantiles",26,"AconityMINIPrinterLarge",0.0464158883361278
"234","FFT coef. (Mag^2 + Angle)",26,"AconityMINIPrinterLarge",0.00599484250318941
"235","catch22",27,"AconityMINIPrinterLarge",21.5443469003188
"236","feasts",27,"AconityMINIPrinterLarge",2.78255940220713
"237","tsfeatures",27,"AconityMINIPrinterLarge",0.359381366380463
"238","TSFEL",27,"AconityMINIPrinterLarge",2.78255940220713
"239","Kats",27,"AconityMINIPrinterLarge",2.78255940220713
"240","tsfresh",27,"AconityMINIPrinterLarge",0.00599484250318941
"241","FFT (Mag^2 + Angle) + quantiles",27,"AconityMINIPrinterLarge",0.00599484250318941
"242","Quantiles",27,"AconityMINIPrinterLarge",0.0464158883361278
"243","FFT coef. (Mag^2 + Angle)",27,"AconityMINIPrinterLarge",0.00599484250318941
"244","catch22",28,"AconityMINIPrinterLarge",2.78255940220713
"245","feasts",28,"AconityMINIPrinterLarge",2.78255940220713
"246","tsfeatures",28,"AconityMINIPrinterLarge",0.359381366380463
"247","TSFEL",28,"AconityMINIPrinterLarge",21.5443469003188
"248","Kats",28,"AconityMINIPrinterLarge",10000
"249","tsfresh",28,"AconityMINIPrinterLarge",0.00599484250318941
"250","FFT (Mag^2 + Angle) + quantiles",28,"AconityMINIPrinterLarge",0.00599484250318941
"251","Quantiles",28,"AconityMINIPrinterLarge",0.0464158883361278
"252","FFT coef. (Mag^2 + Angle)",28,"AconityMINIPrinterLarge",0.00599484250318941
"253","catch22",29,"AconityMINIPrinterLarge",2.78255940220713
"254","feasts",29,"AconityMINIPrinterLarge",0.0464158883361278
"255","tsfeatures",29,"AconityMINIPrinterLarge",0.0464158883361278
"256","TSFEL",29,"AconityMINIPrinterLarge",10000
"257","Kats",29,"AconityMINIPrinterLarge",166.810053720006
"258","tsfresh",29,"AconityMINIPrinterLarge",0.00599484250318941
"259","FFT (Mag^2 + Angle) + quantiles",29,"AconityMINIPrinterLarge",0.00599484250318941
"260","Quantiles",29,"AconityMINIPrinterLarge",0.0464158883361278
"261","FFT coef. (Mag^2 + Angle)",29,"AconityMINIPrinterLarge",0.00599484250318941
"262","catch22",30,"AconityMINIPrinterLarge",2.78255940220713
"263","feasts",30,"AconityMINIPrinterLarge",2.78255940220713
"264","tsfeatures",30,"AconityMINIPrinterLarge",0.0464158883361278
"265","TSFEL",30,"AconityMINIPrinterLarge",0.359381366380463
"266","Kats",30,"AconityMINIPrinterLarge",21.5443469003188
"267","tsfresh",30,"AconityMINIPrinterLarge",0.00599484250318941
"268","FFT (Mag^2 + Angle) + quantiles",30,"AconityMINIPrinterLarge",0.00599484250318941
"269","Quantiles",30,"AconityMINIPrinterLarge",0.0464158883361278
"270","FFT coef. (Mag^2 + Angle)",30,"AconityMINIPrinterLarge",0.00599484250318941
"271","catch22",1,"AconityMINIPrinterSmall",166.810053720006
"272","feasts",1,"AconityMINIPrinterSmall",0.0464158883361278
"273","tsfeatures",1,"AconityMINIPrinterSmall",0.0464158883361278
"274","TSFEL",1,"AconityMINIPrinterSmall",0.0464158883361278
"275","Kats",1,"AconityMINIPrinterSmall",2.78255940220713
"276","tsfresh",1,"AconityMINIPrinterSmall",0.0464158883361278
"277","FFT (Mag^2 + Angle) + quantiles",1,"AconityMINIPrinterSmall",0.0464158883361278
"278","Quantiles",1,"AconityMINIPrinterSmall",0.359381366380463
"279","FFT coef. (Mag^2 + Angle)",1,"AconityMINIPrinterSmall",0.00599484250318941
"280","catch22",2,"AconityMINIPrinterSmall",1291.54966501488
"281","feasts",2,"AconityMINIPrinterSmall",0.359381366380463
"282","tsfeatures",2,"AconityMINIPrinterSmall",0.359381366380463
"283","TSFEL",2,"AconityMINIPrinterSmall",0.00599484250318941
"284","Kats",2,"AconityMINIPrinterSmall",2.78255940220713
"285","tsfresh",2,"AconityMINIPrinterSmall",0.0464158883361278
"286","FFT (Mag^2 + Angle) + quantiles",2,"AconityMINIPrinterSmall",0.0464158883361278
"287","Quantiles",2,"AconityMINIPrinterSmall",0.359381366380463
"288","FFT coef. (Mag^2 + Angle)",2,"AconityMINIPrinterSmall",0.0464158883361278
"289","catch22",3,"AconityMINIPrinterSmall",166.810053720006
"290","feasts",3,"AconityMINIPrinterSmall",0.359381366380463
"291","tsfeatures",3,"AconityMINIPrinterSmall",0.359381366380463
"292","TSFEL",3,"AconityMINIPrinterSmall",0.0464158883361278
"293","Kats",3,"AconityMINIPrinterSmall",0.359381366380463
"294","tsfresh",3,"AconityMINIPrinterSmall",0.00599484250318941
"295","FFT (Mag^2 + Angle) + quantiles",3,"AconityMINIPrinterSmall",0.0464158883361278
"296","Quantiles",3,"AconityMINIPrinterSmall",0.0464158883361278
"297","FFT coef. (Mag^2 + Angle)",3,"AconityMINIPrinterSmall",0.00599484250318941
"298","catch22",4,"AconityMINIPrinterSmall",21.5443469003188
"299","feasts",4,"AconityMINIPrinterSmall",0.0464158883361278
"300","tsfeatures",4,"AconityMINIPrinterSmall",0.0464158883361278
"301","TSFEL",4,"AconityMINIPrinterSmall",0.00599484250318941
"302","Kats",4,"AconityMINIPrinterSmall",0.0464158883361278
"303","tsfresh",4,"AconityMINIPrinterSmall",0.00599484250318941
"304","FFT (Mag^2 + Angle) + quantiles",4,"AconityMINIPrinterSmall",0.0464158883361278
"305","Quantiles",4,"AconityMINIPrinterSmall",0.359381366380463
"306","FFT coef. (Mag^2 + Angle)",4,"AconityMINIPrinterSmall",0.0464158883361278
"307","catch22",5,"AconityMINIPrinterSmall",21.5443469003188
"308","feasts",5,"AconityMINIPrinterSmall",0.0464158883361278
"309","tsfeatures",5,"AconityMINIPrinterSmall",0.359381366380463
"310","TSFEL",5,"AconityMINIPrinterSmall",0.0464158883361278
"311","Kats",5,"AconityMINIPrinterSmall",2.78255940220713
"312","tsfresh",5,"AconityMINIPrinterSmall",0.00599484250318941
